,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
88976,Pertussis,Mono,2001,Female,0,6031,0.0,0.0,61.147
127888,Tuberculosis,Santa Clara,2004,Female,85,840509,10.113,8.078,12.505
62206,HIV,Merced,2003,Female,0,114558,0.0,0.0,3.22
99748,"Rabies, human",Siskiyou,2007,Male,0,22227,0.0,0.0,16.595
37088,Dengue,Butte,2013,Female,0,111548,0.0,0.0,3.307
23156,Cholera,Los Angeles,2006,Female,0,4961211,0.0,0.0,0.07400000000000001
92939,Psittacosis,California,2007,Male,1,18180620,0.006,0.0,0.031
37801,Dengue,Mariposa,2010,Female,0,8958,0.0,0.0,41.17100000000001
105259,Salmonellosis,San Joaquin,2009,Female,55,341446,16.108,12.135,20.965999999999998
6907,Babesiosis,Sierra,2003,Male,0,1795,0.0,0.0,205.298
93025,Psittacosis,Alpine,2008,Female,0,581,0.0,0.0,632.908
101227,Relapsing Fever,Mendocino,2004,Female,0,44205,0.0,0.0,8.345
6444,Babesiosis,San Benito,2003,Female,0,27497,0.0,0.0,13.415
53794,Hantavirus Infection,El Dorado,2004,Male,0,85104,0.0,0.0,4.334
112346,Shigellosis,Ventura,2012,Male,8,414329,1.931,0.8340000000000001,3.804
136438,Varicella Hospitalizations,Nevada,2013,Male,0,48387,0.0,0.0,7.622999999999999
137156,Vibrio Infection (non-Cholera),Contra Costa,2004,Female,1,511239,0.196,0.005,1.09
14310,"Botulism, Wound",Santa Clara,2013,Male,2,928254,0.215,0.026000000000000002,0.778
39287,Dengue,Yolo,2014,Male,0,101047,0.0,0.0,3.6510000000000002
53290,Gonorrhea,Ventura,2005,Female,122,400152,30.488000000000003,25.319000000000003,36.402
111650,Shigellosis,San Luis Obispo,2002,Female,3,123484,2.4290000000000003,0.501,7.1
27938,Coccidioidomycosis,Kings,2001,Male,32,75993,42.108999999999995,28.804000000000002,59.44
73814,Leptospirosis,San Diego,2008,Female,0,1518655,0.0,0.0,0.243
127589,Tuberculosis,San Bernardino,2002,Male,38,897124,4.236000000000001,2.997,5.814
80423,Malaria,Madera,2002,Male,0,61679,0.0,0.0,5.981
83771,Measles,San Mateo,2004,Female,0,356547,0.0,0.0,1.035
